@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,frequency,unit,time,Frequency,Unit,Time
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-01-22,1968-01-22,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-01-23,1968-01-23,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-01-24,1968-01-24,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-01-25,1968-01-25,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-01-26,1968-01-26,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-01-29,1968-01-29,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-01-30,1968-01-30,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-01-31,1968-01-31,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-02-01,1968-02-01,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-02-02,1968-02-02,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-02-05,1968-02-05,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-02-06,1968-02-06,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-02-07,1968-02-07,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-02-08,1968-02-08,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-02-09,1968-02-09,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-02-12,1968-02-12,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-02-13,1968-02-13,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-02-14,1968-02-14,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-02-15,1968-02-15,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-02-16,1968-02-16,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-02-19,1968-02-19,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-02-20,1968-02-20,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-02-21,1968-02-21,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-02-22,1968-02-22,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-02-23,1968-02-23,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-02-26,1968-02-26,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-02-27,1968-02-27,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-02-28,1968-02-28,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-02-29,1968-02-29,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-03-01,1968-03-01,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-03-04,1968-03-04,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-03-05,1968-03-05,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-03-06,1968-03-06,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-03-07,1968-03-07,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-03-08,1968-03-08,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-03-11,1968-03-11,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-03-12,1968-03-12,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-03-13,1968-03-13,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-03-14,1968-03-14,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-03-18,1968-03-18,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-03-19,1968-03-19,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-03-20,1968-03-20,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-03-21,1968-03-21,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-03-22,1968-03-22,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-03-25,1968-03-25,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-03-26,1968-03-26,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-03-27,1968-03-27,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-03-28,1968-03-28,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-03-29,1968-03-29,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-04-01,1968-04-01,37.7,37.7,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-04-02,1968-04-02,37.3,37.3,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-04-03,1968-04-03,37.6,37.6,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-04-04,1968-04-04,36.95,36.95,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-04-05,1968-04-05,37.0,37.0,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-04-08,1968-04-08,37.05,37.05,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-04-09,1968-04-09,37.5,37.5,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-04-10,1968-04-10,37.7,37.7,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-04-11,1968-04-11,38.0,38.0,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-04-16,1968-04-16,38.0,38.0,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-04-17,1968-04-17,37.8,37.8,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-04-18,1968-04-18,37.55,37.55,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-04-19,1968-04-19,37.65,37.65,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-04-22,1968-04-22,38.0,38.0,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-04-23,1968-04-23,38.4,38.4,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-04-24,1968-04-24,38.25,38.25,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-04-25,1968-04-25,38.3,38.3,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-04-26,1968-04-26,38.65,38.65,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-04-29,1968-04-29,38.75,38.75,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-04-30,1968-04-30,39.1,39.1,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-05-01,1968-05-01,39.2,39.2,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-05-02,1968-05-02,39.45,39.45,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-05-03,1968-05-03,39.1,39.1,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-05-06,1968-05-06,39.75,39.75,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-05-07,1968-05-07,39.3,39.3,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-05-08,1968-05-08,39.75,39.75,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-05-09,1968-05-09,39.7,39.7,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-05-10,1968-05-10,39.6,39.6,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-05-13,1968-05-13,39.5,39.5,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-05-14,1968-05-14,39.8,39.8,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-05-15,1968-05-15,40.25,40.25,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-05-16,1968-05-16,41.25,41.25,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-05-17,1968-05-17,41.5,41.5,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-05-20,1968-05-20,42.3,42.3,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-05-21,1968-05-21,42.4,42.4,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-05-22,1968-05-22,41.55,41.55,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-05-23,1968-05-23,41.4,41.4,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-05-24,1968-05-24,41.75,41.75,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-05-27,1968-05-27,41.5,41.5,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-05-28,1968-05-28,41.5,41.5,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-05-29,1968-05-29,41.6,41.6,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-05-30,1968-05-30,41.95,41.95,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-05-31,1968-05-31,41.95,41.95,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-06-04,1968-06-04,41.15,41.15,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-06-05,1968-06-05,41.2,41.2,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-06-06,1968-06-06,41.2,41.2,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-06-07,1968-06-07,41.25,41.25,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-06-10,1968-06-10,41.3,41.3,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-06-11,1968-06-11,41.55,41.55,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-06-12,1968-06-12,41.9,41.9,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-06-13,1968-06-13,41.3,41.3,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-06-14,1968-06-14,41.0,41.0,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-06-17,1968-06-17,40.7,40.7,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-06-18,1968-06-18,41.1,41.1,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-06-19,1968-06-19,41.4,41.4,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-06-20,1968-06-20,41.1,41.1,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-06-21,1968-06-21,41.05,41.05,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-06-24,1968-06-24,40.9,40.9,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-06-25,1968-06-25,40.95,40.95,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-06-26,1968-06-26,40.85,40.85,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-06-27,1968-06-27,40.9,40.9,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-06-28,1968-06-28,40.9,40.9,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-07-01,1968-07-01,40.8,40.8,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-07-02,1968-07-02,40.9,40.9,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-07-03,1968-07-03,41.05,41.05,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-07-04,1968-07-04,41.15,41.15,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-07-05,1968-07-05,41.0,41.0,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-07-08,1968-07-08,40.85,40.85,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-07-09,1968-07-09,39.8,39.8,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-07-10,1968-07-10,40.1,40.1,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-07-11,1968-07-11,39.1,39.1,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-07-12,1968-07-12,39.3,39.3,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-07-15,1968-07-15,39.2,39.2,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-07-16,1968-07-16,38.5,38.5,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-07-17,1968-07-17,37.75,37.75,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-07-18,1968-07-18,38.0,38.0,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-07-19,1968-07-19,38.7,38.7,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-07-22,1968-07-22,38.6,38.6,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-07-23,1968-07-23,39.0,39.0,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-07-24,1968-07-24,39.2,39.2,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-07-25,1968-07-25,38.9,38.9,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-07-26,1968-07-26,38.9,38.9,D,USD,PM,Daily,US Dollar,PM
